128

C	0	0	0
C	0	0	1
C	0	0	2
C	0	0	3
C	0	1	0
C	0	1	1
C	0	1	2
C	0	1	3
C	0	2	0
C	0	2	1
C	0	2	2
C	0	2	3
C	0	3	0
C	0	3	1
C	0	3	2
C	0	3	3
C	1	0	0
C	1	0	1
C	1	0	2
C	1	0	3
C	1	1	0
C	1	1	1
C	1	1	2
C	1	1	3
C	1	2	0
C	1	2	1
C	1	2	2
C	1	2	3
C	1	3	0
C	1	3	1
C	1	3	2
C	1	3	3
C	2	0	0
C	2	0	1
C	2	0	2
C	2	0	3
C	2	1	0
C	2	1	1
C	2	1	2
C	2	1	3
C	2	2	0
C	2	2	1
C	2	2	2
C	2	2	3
C	2	3	0
C	2	3	1
C	2	3	2
C	2	3	3
C	3	0	0
C	3	0	1
C	3	0	2
C	3	0	3
C	3	1	0
C	3	1	1
C	3	1	2
C	3	1	3
C	3	2	0
C	3	2	1
C	3	2	2
C	3	2	3
C	3	3	0
C	3	3	1
C	3	3	2
C	3	3	3
C	0.5	0.5	0.5
C	0.5	0.5	1.5
C	0.5	0.5	2.5
C	0.5	0.5	3.5
C	0.5	1.5	0.5
C	0.5	1.5	1.5
C	0.5	1.5	2.5
C	0.5	1.5	3.5
C	0.5	2.5	0.5
C	0.5	2.5	1.5
C	0.5	2.5	2.5
C	0.5	2.5	3.5
C	0.5	3.5	0.5
C	0.5	3.5	1.5
C	0.5	3.5	2.5
C	0.5	3.5	3.5
C	1.5	0.5	0.5
C	1.5	0.5	1.5
C	1.5	0.5	2.5
C	1.5	0.5	3.5
C	1.5	1.5	0.5
C	1.5	1.5	1.5
C	1.5	1.5	2.5
C	1.5	1.5	3.5
C	1.5	2.5	0.5
C	1.5	2.5	1.5
C	1.5	2.5	2.5
C	1.5	2.5	3.5
C	1.5	3.5	0.5
C	1.5	3.5	1.5
C	1.5	3.5	2.5
C	1.5	3.5	3.5
C	2.5	0.5	0.5
C	2.5	0.5	1.5
C	2.5	0.5	2.5
C	2.5	0.5	3.5
C	2.5	1.5	0.5
C	2.5	1.5	1.5
C	2.5	1.5	2.5
C	2.5	1.5	3.5
C	2.5	2.5	0.5
C	2.5	2.5	1.5
C	2.5	2.5	2.5
C	2.5	2.5	3.5
C	2.5	3.5	0.5
C	2.5	3.5	1.5
C	2.5	3.5	2.5
C	2.5	3.5	3.5
C	3.5	0.5	0.5
C	3.5	0.5	1.5
C	3.5	0.5	2.5
C	3.5	0.5	3.5
C	3.5	1.5	0.5
C	3.5	1.5	1.5
C	3.5	1.5	2.5
C	3.5	1.5	3.5
C	3.5	2.5	0.5
C	3.5	2.5	1.5
C	3.5	2.5	2.5
C	3.5	2.5	3.5
C	3.5	3.5	0.5
C	3.5	3.5	1.5
C	3.5	3.5	2.5
C	3.5	3.5	3.5
