64

C	0	0	0
C	0	0	1
C	0	0	2
C	0	0	3
C	0	2.0	0
C	0	2.0	1
C	0	2.0	2
C	0	2.0	3
C	0	4.0	0
C	0	4.0	1
C	0	4.0	2
C	0	4.0	3
C	0	6.0	0
C	0	6.0	1
C	0	6.0	2
C	0	6.0	3
C	1	0	0
C	1	0	1
C	1	0	2
C	1	0	3
C	1	2.0	0
C	1	2.0	1
C	1	2.0	2
C	1	2.0	3
C	1	4.0	0
C	1	4.0	1
C	1	4.0	2
C	1	4.0	3
C	1	6.0	0
C	1	6.0	1
C	1	6.0	2
C	1	6.0	3
C	2	0	0
C	2	0	1
C	2	0	2
C	2	0	3
C	2	2.0	0
C	2	2.0	1
C	2	2.0	2
C	2	2.0	3
C	2	4.0	0
C	2	4.0	1
C	2	4.0	2
C	2	4.0	3
C	2	6.0	0
C	2	6.0	1
C	2	6.0	2
C	2	6.0	3
C	3	0	0
C	3	0	1
C	3	0	2
C	3	0	3
C	3	2.0	0
C	3	2.0	1
C	3	2.0	2
C	3	2.0	3
C	3	4.0	0
C	3	4.0	1
C	3	4.0	2
C	3	4.0	3
C	3	6.0	0
C	3	6.0	1
C	3	6.0	2
C	3	6.0	3
